מודול,תת-מודול,סטטוס,תיאור,פיצ'רים קיימים,פיצ'רים עתידיים
תצוגת פרויקטים,כרטיס פרויקט,פעיל,"הצגת פרטי פרויקט מפורטים","פרטי פרויקט, התקדמות, סטטיסטיקות, יתרונות","סימולציות, תחזיות, ניתוח כדאיות, המלצות אישיות"
תצוגת פרויקטים,גלריית תמונות,פעיל,"תמונות של הפרויקט","גלריית תמונות, תמונות לפני/אחרי","סיור וירטואלי, מציאות רבודה, וידאו 360 מעלות"
תצוגת פרויקטים,שאלות נפוצות,פעיל,"מענה לשאלות נפוצות לגבי הפרויקט","שאלות נפוצות, תשובות, קטגוריות","שאלות מותאמות אישית, צ'אטבוט AI, חיפוש שאלות"
מודלים תלת-ממדיים,צפייה בנכס,פעיל,"הצגת הנכס במפה תלת-ממדית","מפה תלת-ממדית, ניווט, זום","סיור וירטואלי, מציאות רבודה, סימולציות תכנון"
מודלים תלת-ממדיים,השוואת תכניות,פעיל,"השוואה בין מצב קיים למצב מתוכנן","השוואת תכניות, מצב קיים/מתוכנן, הדגשת שינויים","סימולציות מרובות, תרחישים חלופיים, ניתוח השפעה"
מודלים תלת-ממדיים,מידות ומגבלות,פעיל,"הצגת מידות ומגבלות תכנוניות","מידות, מגבלות, זיקות הנאה","ניתוח אוטומטי של מגבלות, המלצות תכנון, סימולציות"
ממשק משתמש כללי,תפריט ניווט,פעיל,"ניווט נוח בין חלקי האתר","תפריט ראשי, תפריט משני, תפריט נייד","ניווט מותאם אישית, ניווט קולי, קיצורי דרך"
ממשק משתמש כללי,חיפוש גלובלי,פעיל,"חיפוש בכל תוכן האתר","חיפוש טקסטואלי, תוצאות חיפוש, היסטוריית חיפוש","חיפוש קולי, חיפוש סמנטי, חיפוש AI, חיפוש לפי תמונה"
ממשק משתמש כללי,התאמה לשפות,פעיל,"תמיכה בעברית, אנגלית ורוסית","עברית, אנגלית, רוסית, החלפת שפה","תרגום אוטומטי, זיהוי שפה אוטומטי, תמיכה בשפות נוספות"
ממשק משתמש כללי,נגישות,פעיל,"כלי נגישות להתאמת האתר לצרכים שונים","שינוי גודל טקסט, ניגודיות, הדגשת קישורים","קורא מסך, ניווט מקלדת, תמיכה בתקן WCAG 2.1 AA"
מערכת אימות מתקדמת,אימות דו-שלבי,מתוכנן,"הוספת שכבת אבטחה נוספת","","אימות SMS, אימות אפליקציה, אימות אימייל, אימות קוד חד-פעמי"
מערכת אימות מתקדמת,אימות ביומטרי,מתוכנן,"זיהוי פנים או טביעת אצבע","","זיהוי פנים, טביעת אצבע, זיהוי קולי, סריקת רשתית"
מערכת אימות מתקדמת,התחברות עם רשתות חברתיות,מתוכנן,"אפשרות להתחבר דרך Google, Facebook וכו'","","Google, Facebook, Apple, Microsoft, LinkedIn"
מערכת הודעות מתקדמת,צ'אט בזמן אמת,מתוכנן,"תקשורת מיידית עם צוות התמיכה","","צ'אט טקסט, שיתוף קבצים, התראות, היסטוריה"
מערכת הודעות מתקדמת,התראות בזמן אמת,מתוכנן,"קבלת התראות על שינויים בפרויקט","","התראות דחיפה, התראות אימייל, התראות SMS, התראות בדפדפן"
מערכת הודעות מתקדמת,שיחות וידאו,מתוכנן,"אפשרות לקיים שיחות וידאו עם צוות הפרויקט","","שיחות וידאו, שיתוף מסך, הקלטת שיחות, לוח וירטואלי"
מערכת חתימות דיגיטליות,חתימה דיגיטלית,מתוכנן,"חתימה על מסמכים ישירות באתר","","חתימה אלקטרונית, חתימה גרפית, חתימה מאובטחת"
מערכת חתימות דיגיטליות,אימות חתימה,מתוכנן,"אימות החתימה באמצעות תעודת זהות","","אימות ביומטרי, אימות SMS, אימות אימייל, אימות וידאו"
מערכת חתימות דיגיטליות,ארכיון חתימות,מתוכנן,"שמירת היסטוריית חתימות","","היסטוריית חתימות, חיפוש חתימות, ייצוא חתימות, סטטיסטיקות"
מערכת תשלומים,תשלומים מקוונים,מתוכנן,"ביצוע תשלומים ישירות באתר","","כרטיסי אשראי, העברה בנקאית, PayPal, Apple Pay, Google Pay"
מערכת תשלומים,מעקב תשלומים,מתוכנן,"מעקב אחר היסטוריית תשלומים","","היסטוריית תשלומים, סטטוס תשלומים, תזכורות תשלומים"
מערכת תשלומים,חשבוניות דיגיטליות,מתוכנן,"קבלת חשבוניות דיגיטליות","","חשבוניות PDF, חשבוניות מס, קבלות, היסטוריית חשבוניות"
אינטגרציה עם מערכות חיצוניות,אינטגרציה עם מערכות עירוניות,מתוכנן,"חיבור למערכות GIS עירוניות","","GIS, מערכות תכנון, מערכות רישוי, מערכות מידע גיאוגרפי"
אינטגרציה עם מערכות חיצוניות,אינטגרציה עם טאבו,מתוכנן,"קבלת נתונים ישירות מטאבו","","נסחי טאבו, בעלויות, שעבודים, הערות אזהרה"
אינטגרציה עם מערכות חיצוניות,אינטגרציה עם רמ"י,מתוכנן,"קבלת נתונים ישירות מרשות מקרקעי ישראל","","מידע על קרקעות, חוזי חכירה, זכויות בנייה, היטלים"
בינה מלאכותית וניתוח נתונים,חיזוי התקדמות פרויקטים,מתוכנן,"חיזוי זמני סיום פרויקטים","","חיזוי עיכובים, חיזוי עלויות, חיזוי סיכונים"
בינה מלאכותית וניתוח נתונים,זיהוי בעיות פוטנציאליות,מתוכנן,"זיהוי מוקדם של בעיות אפשריות","","זיהוי סיכונים, זיהוי עיכובים, זיהוי חריגות תקציב"
בינה מלאכותית וניתוח נתונים,המלצות אישיות,מתוכנן,"המלצות מותאמות אישית לדיירים","","המלצות תוכן, המלצות פעולות, המלצות החלטות"
אפליקציית מובייל,גרסת iOS ואנדרואיד,מתוכנן,"אפליקציה ייעודית למכשירים ניידים","","iOS, אנדרואיד, PWA, תמיכה במכשירים שונים"
אפליקציית מובייל,התראות פוש,מתוכנן,"קבלת התראות בזמן אמת","","התראות דחיפה, התראות מותאמות אישית, ניהול התראות"
אפליקציית מובייל,סריקת מסמכים,מתוכנן,"סריקת מסמכים ישירות מהמכשיר","","סריקת מסמכים, OCR, זיהוי אוטומטי, שמירה בענן"
מערכת דוחות מתקדמת,דוחות מותאמים אישית,מתוכנן,"יצירת דוחות לפי דרישה","","בונה דוחות, תבניות דוחות, שמירת דוחות, שיתוף דוחות"
מערכת דוחות מתקדמת,ייצוא בפורמטים שונים,מתוכנן,"PDF, Excel, CSV","","PDF, Excel, CSV, JSON, XML, תמונות"
מערכת דוחות מתקדמת,דוחות אוטומטיים,מתוכנן,"שליחת דוחות תקופתיים באופן אוטומטי","","דוחות יומיים, שבועיים, חודשיים, רבעוניים, שנתיים"
מערכת ניהול קבצים מתקדמת,עריכת מסמכים מקוונת,מתוכנן,"עריכת מסמכים ישירות באתר","","עריכת טקסט, עריכת PDF, עריכת תמונות, עריכת טבלאות"
מערכת ניהול קבצים מתקדמת,גרסאות מסמכים,מתוכנן,"שמירת גרסאות קודמות של מסמכים","","היסטוריית גרסאות, השוואת גרסאות, שחזור גרסאות"
מערכת ניהול קבצים מתקדמת,שיתוף מסמכים,מתוכנן,"שיתוף מסמכים עם גורמים חיצוניים","","קישורים לשיתוף, הרשאות צפייה/עריכה, סיסמאות, תפוגה"
מערכת ניהול פרויקטים מתקדמת,לוח גאנט,מתוכנן,"תצוגת לוח גאנט לניהול זמנים","","לוח גאנט אינטראקטיבי, תלויות, נתיב קריטי, אבני דרך"
מערכת ניהול פרויקטים מתקדמת,ניהול משימות,מתוכנן,"הקצאת משימות לגורמים שונים","","יצירת משימות, הקצאת משימות, מעקב משימות, תזכורות"
מערכת ניהול פרויקטים מתקדמת,מעקב אחר ביצועים,מתוכנן,"מדידת ביצועים והתקדמות","","מדדי ביצוע, דוחות התקדמות, השוואה לתכנון, חריגות"
